Make,Model,Type,First-registration-date,Year-of-manufacture,Mileage,Chassis-number,Engine-number,Gearbox-number,Matching-numbers,Previous-owners,Café-Racer,Engine-Type,Power,Cubic-capacity,Cylinders,Starter,Cooling,Gearbox,Gearshift,Gears,Transmission,Front-breaks,Rear-breaks,Fuel-type,Curb-weight,Exterior-color,Price
Harley-Davidson,FXSTC 1340 Softail Custom,Chopper,Not provided,1995,"36,000 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-stroke | OHV,40/54,1337,2,unknown,Air,Not provided,Not provided,5,Belt,Disc,Disc,Petrol,0.28,Black,"9,169"
Yamaha,V-Max 1200,Touring Bike,Not provided,2000,"65,000 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,75/102,1198,4,unknown,water,Not provided,Pedal Control Left,5,Cardan,Disc,Disc,Petrol,0.27,Black,"5,141"
Honda,XR 250 R,Motocross,Not provided,1982,"1,500 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,4 stroke,1/1 (Factory: 18/24),1 (Factory: 249),2,unknown,Air,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Petrol,Not provided,Red,"5,141"
Honda,CB 1100 R,Touring Bike,08/1982,1982,"10,408 km",SC08-2001345,SC05E-2101361,Not provided,No,2,No,Straight | 4 stroke | OHC,74/100 (Factory: 85/115),1062,4,Electric starter,Not provided,Manual,Pedal Control Left,5,Chain,Disc,Disc,Petrol,Not provided,White,"21,337"
Jawa,350 Type 634,Touring Bike,01/1982,1982,"18,590 km",Not provided,Not provided,Not provided,No,1,Not provided,2 stroke,19/26,344,2,Kickstarter,Air,Manual,Not provided,4,Chain,Not provided,Not provided,Petrol,0.155,Green,"2,571"
Piaggio,Vespa 125 Primavera ET3,Scooter,Not provided,1981,15 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,5/7,123,1,Kickstarter,Fan,Manual,Twist Grip Gear Change,3,unit swing,Drum,Drum,Petrol,0.078,Others,"5,997"
BMW,R NineT,Cruiser,Not provided,2018,24 mls,Not provided,Not provided,Not provided,No,Not provided,Yes,Boxer | 4 stroke,81/110,1170,2,Electric starter,Oil-air,Manual,Pedal Control Left,6,Cardan,Disc,Disc,Petrol,0.222,White,"11,995"
Harley-Davidson,Touring Street Glide FLHX,Chopper,Not provided,2010,"5,000 km",Not provided,Not provided,Not provided,No,Not provided,No,V | 4-stroke | OHV,60/82,1690,2,Electric starter,Air,Not provided,Pedal Control Left,Not provided,Chain,Not provided,Not provided,Petrol,0.332,Black,"17,995"
BMW,R 80 G/S,Enduro/Scrambler,08/1987,1987,"2,500 km",6292492,Not provided,Not provided,No,3,No,Boxer | 4 stroke | OHC,63/85 (Factory: 37/50),1096 (Factory: 798),2,Electric starter,Air,Manual,Pedal Control Left,5,Cardan,Disc,Drum,Petrol,0.235,Black,"41,885"
Moto Guzzi,V 35 II,Touring Bike,Not provided,1982,1 km,Not provided,Not provided,Not provided,Yes,1,Yes,V | 4-stroke | OHV,20/27,346,2,Electric starter,Air,Manual,Pedal Control Left,5,Cardan,Disc,Disc,Petrol,0.185,Red,"3,856"
Gilera,125 E1 Competizione,Motocross,Not provided,1983,1 km,Not provided,Not provided,Not provided,Yes,Not provided,No,2 stroke,22/30,123,1,Kickstarter,Oil-air,Manual,Not provided,6,Not provided,Not provided,Not provided,Petrol,0.98,Red,"5,056"
BMW,R 100 R,Touring Bike,Not provided,1992,"65,000 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Boxer | 4 stroke,44/60,980,2,unknown,Oil-air,Not provided,Not provided,5,Cardan,Disc,Disc,Petrol,0.21,Green,"10,968"
Moto Guzzi,California III,Touring Bike,Not provided,1993,"22,000 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-stroke | OHV,49/67,949,2,unknown,Air,Not provided,Not provided,5,Cardan,Disc,Disc,Petrol,0.25,Grey,"3,856"
BMW,R 80,Touring Bike,04/1987,1987,"41,456 km",Not provided,Not provided,Not provided,No,1,Not provided,Straight | 4-stroke | DOHC,37/50,797,2,unknown,Not provided,Not provided,Not provided,5,Cardan,Disc,Drum,Petrol,Not provided,Red,"8,569"
BMW,R 100,Sports Bike,07/1983,1983,"49,937 km",Not provided,Not provided,Not provided,No,1,Not provided,Boxer | 4 stroke | OHV,49/66,971,2,unknown,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Petrol,Not provided,Black,"8,569"
MZ,ETZ 250 Gespann,Bike/Sidecar combination,01/1988,1988,"33,547 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,15/21,248,1,unknown,Air,Not provided,Not provided,Not provided,Chain,Not provided,Not provided,Petrol,Not provided,Not specified,"5,570"
MZ,ETZ 250,Touring Bike,01/1987,1987,"4,647 km",Not provided,Not provided,Not provided,No,1,Not provided,2 stroke,15/21,243,1,unknown,Air,Not provided,Not provided,Not provided,Chain,Not provided,Not provided,Petrol,Not provided,Green,"4,970"
MZ,ETZ 250 Gespann,Bike/Sidecar combination,05/1986,1986,"11,454 km",Not provided,Not provided,Not provided,No,1,Not provided,2 stroke,15/21,243,1,unknown,Air,Not provided,Not provided,Not provided,Chain,Not provided,Not provided,Petrol,Not provided,Red,"3,856"
MZ,ETZ 250,Touring Bike,01/1985,1985,"33,701 km",Not provided,Not provided,Not provided,No,1,Not provided,2 stroke,15/21,243,1,unknown,Air,Not provided,Not provided,Not provided,Chain,Not provided,Not provided,Petrol,Not provided,Green,"3,856"
