Make,Model,Type,First-registration-date,Year-of-manufacture,Mileage,Chassis-number,Engine-number,Gearbox-number,Matching-numbers,Previous-owners,Café-Racer,Engine-Type,Power,Cubic-capacity,Cylinders,Starter,Cooling,Gearbox,Gearshift,Gears,Transmission,Front-breaks,Rear-breaks,Fuel-type,Curb-weight,Exterior-color,Price
Aprilia,Moto 6.5,Racing Motorcycle,Not provided,1999,"1,300 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,4 stroke | DOHC,32/43,649,1,Electric starter,water,Manual,Pedal Control Left,5,Chain,Disc,Disc,Petrol,0.15,Orange,"8,569"
BMW,R 100 CS,Touring Bike,Not provided,1981,"19,300 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Boxer | 4 stroke,51/70,980,2,Electric starter,Air,Manual,Pedal Control Left,5,Cardan,Disc,Disc,Petrol,0.22,Black,"9,340"
Ducati,916 Strada,Sports Bike,Not provided,1999,"33,900 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-Takt | DOHC,82/112,916,2,Electric starter,water,Manual,Not provided,6,Chain,Disc,Disc,Petrol,0.2,Red,"15,510"
Honda,XRV 750 Africa Twin,Enduro/Scrambler,Not provided,1998,"6,400 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Twin | 4 stroke,46/62,742,2,Electric starter,water,Manual,Pedal Control Left,5,Chain,Disc,Disc,Petrol,0.218,Black,"4,199"
Moto Guzzi,850 T 5,Touring Bike,Not provided,1984,"44,000 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-stroke | OHV,51/69,844,2,unknown,Air,Manual,Not provided,5,Cardan,Disc,Disc,Petrol,0.23,Others,"7,626"
Suzuki,GSX 750 F,Touring Bike,Not provided,1999,"40,330 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,68/93,750,4,Electric starter,Oil-air,Manual,Not provided,6,Chain,Disc,Disc,Petrol,0.23,Grey,"2,571"
Yamaha,XT 600 E,Enduro/Scrambler,Not provided,1991,"38,000 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,4 stroke | OHC,33/45,595,1,Electric starter,Air,Manual,Pedal Control Left,5,Chain,Disc,Disc,Petrol,0.156,Black,"4,199"
Laverda,500,Sports Bike,Not provided,1981,"13,800 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,33/45,499,2,unknown,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Petrol,Not provided,Black,"6,427"
Honda,CB 650 SC,Touring Bike,Not provided,1984,"22,000 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,4 stroke,53/72,655,4,Electric starter,Air,Manual,Not provided,6,Cardan,Disc,Drum,Petrol,Not provided,Others,"7,626"
Honda,CB 650,Touring Bike,Not provided,1985,"66,000 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Twin | 4 stroke | SOHC,46/63,626,1,Electric starter,Air,Not provided,Not provided,5,Not provided,Disc,Drum,Petrol,0.22,Red,"3,599"
Piaggio,Vespa PX 125 E,Scooter,Not provided,1987,"58,000 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,7/9,123,1,Electric starter,Air,Manual,Not provided,4,Not provided,Not provided,Not provided,Petrol,0.098,Others,"3,170"
Honda,CB 650 SC,Touring Bike,Not provided,1985,"39,000 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,4 stroke,53/72,655,4,Electric starter,Air,Manual,Not provided,6,Cardan,Disc,Drum,Petrol,Not provided,Grey,"2,999"
Moto Guzzi,850 T 3,Touring Bike,Not provided,1981,"56,551 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-stroke | OHV,43/59,844,2,unknown,Air,Not provided,Not provided,Not provided,Cardan,Not provided,Not provided,Petrol,Not provided,Red,"4,456"
Yamaha,XVZ 1300 Royal Star,Chopper,Not provided,2000,"79,200 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-Takt | DOHC,55/75,1294,4,Electric starter,water,Manual,Pedal Control Left,5,Cardan,Disc,Disc,Petrol,0.34,Grey,"5,570"
Piaggio,Vespa PX 150,Scooter,Not provided,2000,"50,266 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,7/10,150,1,Electric starter,Fan,Manual,Twist Grip Gear Change,4,unit swing,Disc,Disc,Petrol,Not provided,Blue,"2,742"
Moto Guzzi,1100 Sport,Sports Bike,Not provided,1998,"23,500 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-stroke | OHV,66/90,1064,2,Electric starter,Air,Manual,Pedal Control Left,5,Cardan,Disc,Disc,Petrol,0.221,Black,"21,423"
Piaggio,Vespa 125 Primavera ET3,Scooter,Not provided,1982,8 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,5/7,123,1,Kickstarter,Fan,Not provided,Twist Grip Gear Change,3,unit swing,Drum,Drum,Petrol,0.078,Others,"5,997"
Piaggio,Vespa 125 Primavera ET3,Scooter,Not provided,1982,19 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,5/7,123,1,Kickstarter,Fan,Manual,Twist Grip Gear Change,3,unit swing,Drum,Drum,Petrol,0.078,Others,"5,997"
Piaggio,Vespa 125 Primavera ET3,Scooter,Not provided,1981,8 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,5/7,123,1,Kickstarter,Fan,Manual,Twist Grip Gear Change,3,unit swing,Drum,Drum,Petrol,0.078,Others,"7,283"
Piaggio,Vespa 125 Primavera ET3,Scooter,Not provided,1981,8 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,5/7,123,1,Kickstarter,Fan,Not provided,Twist Grip Gear Change,3,unit swing,Drum,Drum,Petrol,0.078,Others,"5,997"
Piaggio,Vespa 125 Primavera ET3,Scooter,Not provided,1982,9 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,5/7,123,1,Kickstarter,Fan,Manual,Twist Grip Gear Change,3,unit swing,Drum,Drum,Petrol,0.078,Others,"7,283"
Triumph,Trident 750,Naked Bike,Not provided,1996,"42,000 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,4 stroke,64/87,748,3,Electric starter,Oil-air,Manual,Not provided,6,Chain,Disc,Disc,Petrol,Not provided,Green,"7,284"
Yamaha,GTS 1000,Touring Bike,Not provided,1995,"41,500 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,4 stroke,74/100,1003,4,unknown,water,Manual,Not provided,5,Not provided,Disc,Disc,Petrol,Not provided,Blue,"3,685"
Yamaha,XVZ 1300 Royal Star,Chopper,Not provided,1998,"21,800 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-Takt | DOHC,55/75,1294,4,Electric starter,water,Manual,Pedal Control Left,5,Cardan,Disc,Disc,Petrol,0.34,Black,"5,141"
Piaggio,Vespa PX 150 E,Moped,Not provided,1983,"26,150 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,7/10,150,1,Electric starter,Air,Manual,Twist Grip Gear Change,4,Not provided,Drum,Drum,Petrol,Not provided,Others,"3,419"
Honda,VT 600C Shadow,Chopper,Not provided,1993,"71,000 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4 stroke | OHC,30/41,583,2,Electric starter,water,Manual,Pedal Control Left,5,Chain,Disc,Drum,Petrol,0.207,Others,"3,428"
Honda,VF 750,Touring Bike,Not provided,1983,"31,200 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-Takt | DOHC,63/86,748,4,Electric starter,water,Manual,Not provided,5,Chain,Disc,Drum,Petrol,0.228,Black,"3,162"
Benelli,900 Sei,Touring Bike,Not provided,1985,"14,630 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4 stroke | SOHC,59/80,906,6,Electric starter,Air,Manual,Not provided,5,Chain,Disc,Disc,Petrol,0.25,Black,"17,909"
Yamaha,XJ 600,Touring Bike,Not provided,1984,"80,000 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,53/72,598,4,Electric starter,Air,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.212,Black,"4,276"
Kawasaki,Ninja 750 ZX-7R,Sports Bike,Not provided,1996,"42,200 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,4 stroke,82/112,748,4,Electric starter,Oil-air,Manual,Not provided,6,Chain,Disc,Disc,Petrol,Not provided,Green,"6,427"
Montesa,Cota 349 Trial,Motocross,Not provided,1985,50 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,1/1,305,1,Kickstarter,Air,Manual,Not provided,6,Not provided,Not provided,Not provided,Petrol,Not provided,White,"4,199"
BMW,K 100 RS,Touring Bike,Not provided,1993,"124,500 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,66/90,987,4,Electric starter,water,Manual,Not provided,5,Cardan,Disc,Disc,Petrol,0.253,White,"3,256"
Honda,CBX 750 F,Sports Bike,Not provided,1985,"45,000 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,67/91,747,4,Electric starter,Air,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,Not provided,Grey,"2,913"
Honda,VFR 750F,Touring Bike,Not provided,1995,"18,500 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-Takt | DOHC,78/106,748,4,Electric starter,water,Manual,Not provided,6,Chain,Disc,Disc,Petrol,0.23,Black,"3,599"
Husqvarna,SMR 570,Moto - Cross,Not provided,1997,"1,500 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,4 stroke,41/56,576,1,Kickstarter,Oil-air,Manual,Not provided,6,Chain,Disc,Disc,Petrol,0.118,Blue,"4,113"
Honda,NSR 125 R,Sports Bike,Not provided,1991,"5,000 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,21/28,125,1,unknown,water,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,Not provided,Black,"4,456"
Honda,ST 1300 Pan European ABS,Touring Bike,06/2002,2002,"37,000 km",Not provided,Not provided,Not provided,No,2,Not provided,4 stroke,93/127,1261,4,Electric starter,Oil-air,Not provided,Not provided,5,Cardan,Disc,Disc,Petrol,0.289,Others,"5,056"
Royal Enfield,Bullet 500,Touring Bike,01/2008,2008,"1,695 km",Not provided,Not provided,Not provided,No,1,No,4-Takt | OHV,17/23 (Factory: 20/27),499,1,Electric starter,Air,Not provided,Pedal Control Left,5,Chain,Disc,Disc,Petrol,0.195,Black,"4,284"
Ducati,851 S,Sports Bike,Not provided,1990,285 km,Not provided,Not provided,Not provided,No,> 6,No,V | 4 stroke | SV,90/122 (Factory: 75/102),851,2,Electric starter,water,Not provided,Not provided,6,Not provided,Not provided,Not provided,Petrol,0.216,Red,"36,418"
MV Agusta,F4 1000 S,Racing Motorcycle,Not provided,2005,123 km,Not provided,Not provided,Not provided,No,> 6,Not provided,Straight | 4-stroke | DOHC,122/166,998,4,Electric starter,water,Not provided,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.192,Red,"23,993"
Piaggio,Vespa T5,Scooter,Not provided,1985,"14,578 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,9/12,122,1,Kickstarter,Air,Not provided,Twist Grip Gear Change,4,Not provided,Drum,Drum,Petrol,0.098,Others,"6,426"
Piaggio,Vespa 125 Primavera,Scooter,Not provided,1983,3 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,5/7 (Factory: 4/6),123,1,Kickstarter,Fan,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Petrol,0.073,Others,"5,990"
Piaggio,Vespa 125 Primavera ET3,Scooter,Not provided,1980,"37,577 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,5/7,121,1,Kickstarter,Fan,Not provided,Twist Grip Gear Change,3,unit swing,Drum,Drum,Petrol,0.078,Others,"5,569"
Piaggio,Vespa PK 50 N,Scooter,Not provided,1985,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,5/7 (Factory: 3/4),49,1,Kickstarter,Air,Not provided,Twist Grip Gear Change,4,Not provided,Drum,Drum,Petrol,0.077,Others,"3,341"
Piaggio,Vespa PX 150,Scooter,Not provided,1982,"22,311 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,5/7 (Factory: 7/10),121 (Factory: 150),1,Kickstarter,Fan,Not provided,Twist Grip Gear Change,4,unit swing,Disc,Disc,Petrol,Not provided,Others,"3,855"
